t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,module,level
1755489085.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489086.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489086.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489087.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489087.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489088.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489088.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489089.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489089.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489090.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489090.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489091.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489091.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489092.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489092.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489093.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489093.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489094.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489094.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489095.0,2.1,2.0,1.5,0.0,0.0,telemetry_trickle_jam,low
1755489095.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755489096.0,0.0,0.0,0.0,0.0,0.0,scenario,medium
1755489096.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755489096.0,0.0,0.0,0.0,0.0,0.0,scenario,medium
1755489096.0,0.0,0.0,0.0,0.0,0.0,scenario,low
1755489096.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
