t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
29.4,0,0,0,0,0,5760,
29.5,0,0,0,0,0,5760,
29.6,0,0,0,0,0,5760,
29.7,0,0,0,0,0,5760,
29.8,0,0,0,0,0,5760,
29.9,0,0,0,0,0,5760,
30.0,0,0,0,0,0,5760,
30.1,0,0,0,0,0,5760,
30.2,0,0,0,0,0,5760,
30.3,0,0,0,0,0,5760,
30.4,0,0,0,0,0,5760,
30.5,0,0,0,0,0,5760,
30.6,0,0,0,0,0,5760,
30.7,0,0,0,0,0,5760,
30.8,0,0,0,0,0,5760,
30.9,0,0,0,0,0,5760,
31.0,0,0,0,0,0,5760,
31.1,0,0,0,0,0,5760,
31.2,0,0,0,0,0,5760,
31.3,0,0,0,0,0,5760,
31.4,0,0,0,0,0,5760,
31.5,0,0,0,0,0,5760,
31.6,0,0,0,0,0,5760,
31.7,0,0,0,0,0,5760,
31.8,0,0,0,0,0,5760,
31.9,0,0,0,0,0,5760,
32.0,0,0,0,0,0,5760,
32.1,0,0,0,0,0,5760,
32.2,0,0,0,0,0,5760,
32.3,0,0,0,0,0,5760,
32.4,0,0,0,0,0,5760,
32.5,0,0,0,0,0,5760,
32.6,0,0,0,0,0,5760,
32.7,0,0,0,0,0,5760,
32.8,0,0,0,0,0,5760,
32.9,0,0,0,0,0,5760,
33.0,0,0,0,0,0,5760,
33.1,0,0,0,0,0,5760,
33.2,0,0,0,0,0,5760,
33.3,0,0,0,0,0,5760,
33.4,0,0,0,0,0,5760,
33.5,0,0,0,0,0,5760,
33.6,0,0,0,0,0,5760,
33.7,0,0,0,0,0,5760,
33.8,0,0,0,0,0,5760,
33.9,0,0,0,0,0,5760,
34.0,0,0,0,0,0,5760,
34.1,0,0,0,0,0,5760,
34.2,0,0,0,0,0,5760,
34.3,0,0,0,0,0,5760,
34.4,0,0,0,0,0,5760,
34.5,0,0,0,0,0,5760,
34.6,0,0,0,0,0,5760,
34.7,0,0,0,0,0,5760,
34.8,0,0,0,0,0,5760,
34.9,0,0,0,0,0,5760,
35.0,0,0,0,0,0,5760,
35.1,0,0,0,0,0,5760,
35.2,0,0,0,0,0,5760,
35.3,0,0,0,0,0,5760,
35.4,0,0,0,0,0,5760,
35.5,0,0,0,0,0,5760,
35.6,0,0,0,0,0,5760,
35.7,0,0,0,0,0,5760,
35.8,0,0,0,0,0,5760,
35.9,0,0,0,0,0,5760,
36.0,0,0,0,0,0,5760,
36.1,0,0,0,0,0,5760,
36.2,0,0,0,0,0,5760,
36.3,0,0,0,0,0,5760,
36.4,0,0,0,0,0,5760,
36.5,0,0,0,0,0,5760,
36.6,0,0,0,0,0,5760,
36.7,0,0,0,0,0,5760,
36.8,0,0,0,0,0,5760,
36.9,0,0,0,0,0,5760,
37.0,0,0,0,0,0,5760,
37.1,0,0,0,0,0,5760,
37.2,0,0,0,0,0,5760,
37.3,0,0,0,0,0,5760,
37.4,0,0,0,0,0,5760,
37.5,0,0,0,0,0,5760,
37.6,0,0,0,0,0,5760,
37.7,0,0,0,0,0,5760,
37.8,0,0,0,0,0,5760,
37.9,0,0,0,0,0,5760,
38.0,0,0,0,0,0,5760,
38.1,0,0,0,0,0,5760,
38.2,0,0,0,0,0,5760,
38.3,0,0,0,0,0,5760,
38.4,0,0,0,0,0,5760,
38.5,0,0,0,0,0,5760,
38.6,0,0,0,0,0,5760,
38.7,0,0,0,0,0,5760,
38.8,0,0,0,0,0,5760,
38.9,0,0,0,0,0,5760,
39.0,0,0,0,0,0,5760,
39.1,0,0,0,0,0,5760,
39.2,0,0,0,0,0,5760,
39.3,0,0,0,0,0,5760,
39.4,0,0,0,0,0,5760,
39.5,0,0,0,0,0,5760,
39.6,0,0,0,0,0,5760,
39.7,0,0,0,0,0,5760,
39.8,0,0,0,0,0,5760,
39.9,0,0,0,0,0,5760,
40.0,0,0,0,0,0,5760,
40.1,0,0,0,0,0,5760,
40.2,0,0,0,0,0,5760,
40.3,0,0,0,0,0,5760,
40.4,0,0,0,0,0,5760,
40.5,0,0,0,0,0,5760,
40.6,0,0,0,0,0,5760,
40.7,0,0,0,0,0,5760,
40.8,0,0,0,0,0,5760,
40.9,0,0,0,0,0,5760,
41.0,0,0,0,0,0,5760,
41.1,0,0,0,0,0,5760,
41.2,0,0,0,0,0,5760,
41.3,0,0,0,0,0,5760,
41.4,0,0,0,0,0,5760,
41.5,0,0,0,0,0,5760,
41.6,0,0,0,0,0,5760,
41.7,0,0,0,0,0,5760,
41.8,0,0,0,0,0,5760,
41.9,0,0,0,0,0,5760,
42.0,0,0,0,0,0,5760,
42.1,0,0,0,0,0,5760,
42.2,0,0,0,0,0,5760,
42.3,0,0,0,0,0,5760,
42.4,0,0,0,0,0,5760,
42.5,0,0,0,0,0,5760,
42.6,0,0,0,0,0,5760,
42.7,0,0,0,0,0,5760,
42.8,0,0,0,0,0,5760,
42.9,0,0,0,0,0,5760,
43.0,0,0,0,0,0,5760,
43.1,0,0,0,0,0,5760,
43.2,0,0,0,0,0,5760,
43.3,0,0,0,0,0,5760,
43.4,0,0,0,0,0,5760,
43.5,0,0,0,0,0,5760,
43.6,0,0,0,0,0,5760,
43.7,0,0,0,0,0,5760,
43.8,0,0,0,0,0,5760,
43.9,0,0,0,0,0,5760,
44.0,0,0,0,0,0,5760,
44.1,0,0,0,0,0,5760,
44.2,0,0,0,0,0,5760,
44.3,0,0,0,0,0,5760,
44.4,0,0,0,0,0,5760,
44.5,0,0,0,0,0,5760,
44.6,0,0,0,0,0,5760,
44.7,0,0,0,0,0,5760,
44.8,0,0,0,0,0,5760,
44.9,0,0,0,0,0,5760,
45.0,0,0,0,0,0,5760,
45.1,0,0,0,0,0,5760,
45.2,0,0,0,0,0,5760,
45.3,0,0,0,0,0,5760,
45.4,0,0,0,0,0,5760,
45.5,0,0,0,0,0,5760,
45.6,0,0,0,0,0,5760,
45.7,0,0,0,0,0,5760,
45.8,0,0,0,0,0,5760,
45.9,0,0,0,0,0,5760,
46.0,0,0,0,0,0,5760,
46.1,0,0,0,0,0,5760,
46.2,0,0,0,0,0,5760,
46.3,0,0,0,0,0,5760,
46.4,0,0,0,0,0,5760,
46.5,0,0,0,0,0,5760,
46.6,0,0,0,0,0,5760,
46.7,0,0,0,0,0,5760,
46.8,0,0,0,0,0,5760,
46.9,0,0,0,0,0,5760,
47.0,0,0,0,0,0,5760,
47.1,0,0,0,0,0,5760,
