Timestamp,SrcIP,DstIP,Protocol,DstPort,PacketSize
18.8593,10.13.0.5,10.13.0.1,TCP,54578,66
18.8595,10.13.0.1,10.13.0.5,TCP,8000,66
18.8598,10.13.0.5,10.13.0.1,TCP,54544,66
18.8603,10.13.0.1,10.13.0.5,TCP,8000,66
18.8605,10.13.0.5,10.13.0.1,TCP,54552,66
18.8607,10.13.0.1,10.13.0.5,TCP,8000,66
18.8608,10.13.0.5,10.13.0.1,TCP,54566,66
18.8610,10.13.0.1,10.13.0.5,TCP,8000,66
18.8685,10.13.0.1,10.13.0.5,TCP,8000,74
18.8688,10.13.0.5,10.13.0.1,TCP,54586,74
18.8692,10.13.0.1,10.13.0.5,TCP,8000,66
18.8695,10.13.0.1,10.13.0.5,TCP,8000,431
18.8703,10.13.0.5,10.13.0.1,TCP,54586,66
18.8712,10.13.0.5,10.13.0.1,TCP,54586,460
18.8748,10.13.0.1,10.13.0.5,TCP,8000,66
18.8752,10.13.0.5,10.13.0.1,TCP,54586,7306
18.8756,10.13.0.1,10.13.0.5,TCP,8000,66
18.8762,10.13.0.5,10.13.0.1,TCP,54586,1018
18.8764,10.13.0.1,10.13.0.5,TCP,8000,66
18.8767,10.13.0.5,10.13.0.1,TCP,54586,418
18.8769,10.13.0.1,10.13.0.5,TCP,8000,66
18.8772,10.13.0.1,10.13.0.5,TCP,8000,66
18.8773,10.13.0.5,10.13.0.1,TCP,54586,66
18.8776,10.13.0.1,10.13.0.5,TCP,8000,66
32.1237,10.13.0.5,10.13.0.3,TCP,39803,66
32.1240,10.13.0.5,10.13.0.3,TCP,39825,66
32.1242,10.13.0.3,10.13.0.5,TCP,41394,66
32.1245,10.13.0.3,10.13.0.5,TCP,57476,66
32.1272,10.13.0.5,10.13.0.3,TCP,44699,66
32.1276,10.13.0.3,10.13.0.5,TCP,49910,66
